frame_idx,timestamp,cx,cy,area,command
124,1764914982.4690301,176,292,28060,FORWARD
125,1764914982.475531,175,292,28150,FORWARD
126,1764914982.4823275,174,292,28225,FORWARD
127,1764914982.4881778,172,292,28241,FORWARD
128,1764914982.4941907,170,292,28311,FORWARD
129,1764914982.5009115,168,292,28400,FORWARD
130,1764914982.5064778,166,292,28436,FORWARD
131,1764914982.5137508,164,292,28437,FORWARD
132,1764914982.520042,162,291,28454,FORWARD
133,1764914982.5261862,160,292,28508,FORWARD
134,1764914982.5328074,158,292,28708,FORWARD
135,1764914982.5389407,155,292,28755,FORWARD
136,1764914982.5447464,154,292,28667,FORWARD
137,1764914982.5515008,153,292,28514,FORWARD
138,1764914982.5572824,153,292,28498,FORWARD
139,1764914982.564258,154,292,28607,FORWARD
140,1764914982.5703783,154,291,28608,FORWARD
141,1764914982.5765946,155,291,28653,FORWARD
142,1764914982.5838943,156,291,28790,FORWARD
143,1764914982.589964,157,290,28716,FORWARD
144,1764914982.5968115,157,290,28712,FORWARD
145,1764914982.6027343,157,290,28690,FORWARD
146,1764914982.6085327,157,290,28698,FORWARD
147,1764914982.615656,157,289,28649,FORWARD
148,1764914982.622078,157,289,28646,FORWARD
149,1764914982.6283164,157,289,28691,FORWARD
150,1764914982.633742,157,289,28638,FORWARD
151,1764914982.6395957,158,288,29178,FORWARD
152,1764914982.6457827,158,287,29475,FORWARD
153,1764914982.6514988,159,286,29823,FORWARD
154,1764914982.6568973,160,286,30082,FORWARD
155,1764914982.6630874,160,285,30398,FORWARD
156,1764914982.668691,161,284,30657,FORWARD
157,1764914982.673998,161,284,30895,FORWARD
158,1764914982.6803236,160,284,31027,FORWARD
159,1764914982.6856363,160,283,30978,FORWARD
160,1764914982.6916354,159,283,31022,FORWARD
161,1764914982.6975012,159,284,31036,FORWARD
162,1764914982.703279,158,284,30607,FORWARD
163,1764914982.708846,158,285,30508,FORWARD
164,1764914982.7159479,157,284,30524,FORWARD
165,1764914982.7215588,157,284,30683,FORWARD
166,1764914982.7288015,158,282,30798,FORWARD
167,1764914982.734679,162,280,31093,FORWARD
168,1764914982.7402816,169,276,31111,FORWARD
169,1764914982.7472022,179,272,31201,FORWARD
170,1764914982.753093,191,268,31510,FORWARD
171,1764914982.7591887,206,264,31563,TURN_RIGHT
172,1764914982.7664406,222,260,31640,TURN_RIGHT
173,1764914982.772132,232,255,29930,TURN_RIGHT
174,1764914982.7791128,243,251,27195,TURN_RIGHT
175,1764914982.784921,251,250,24133,TURN_RIGHT
176,1764914982.7905152,260,250,21195,TURN_RIGHT
177,1764914982.7975888,267,250,18407,TURN_RIGHT
178,1764914982.8033707,274,252,15931,TURN_RIGHT
179,1764914982.8100557,280,254,13728,TURN_RIGHT
180,1764914982.8156495,286,256,11779,TURN_RIGHT
181,1764914982.8215406,290,258,10397,TURN_RIGHT
182,1764914982.82791,292,260,9570,TURN_RIGHT
183,1764914982.8330674,293,262,9307,TURN_RIGHT
184,1764914982.8390257,292,263,9449,TURN_RIGHT
185,1764914982.8452327,291,263,9830,TURN_RIGHT
186,1764914982.8511178,290,264,10264,TURN_RIGHT
187,1764914982.8592534,288,266,10759,TURN_RIGHT
188,1764914982.864948,286,267,11392,TURN_RIGHT
189,1764914982.8709536,284,268,12224,TURN_RIGHT
190,1764914982.8770034,281,269,13309,TURN_RIGHT
191,1764914982.8830357,277,269,14551,TURN_RIGHT
192,1764914982.8904378,273,269,16028,TURN_RIGHT
193,1764914982.8973584,268,268,17691,TURN_RIGHT
194,1764914982.9035172,263,268,19501,TURN_RIGHT
195,1764914982.9103878,257,268,21791,TURN_RIGHT
196,1764914982.9165964,250,268,24286,TURN_RIGHT
197,1764914982.9231505,242,269,26728,TURN_RIGHT
198,1764914982.9301383,233,272,28726,TURN_RIGHT
199,1764914982.9357045,224,276,30309,TURN_RIGHT
200,1764914982.9418602,209,278,30590,TURN_RIGHT
201,1764914982.9477553,195,279,30430,TURN_RIGHT
202,1764914982.953246,181,281,30355,FORWARD
203,1764914982.959652,169,283,30288,FORWARD
204,1764914982.9652526,158,285,30383,FORWARD
205,1764914982.9710522,150,287,30195,FORWARD
206,1764914982.9778883,142,289,30211,FORWARD
207,1764914982.9840865,135,290,30184,FORWARD
208,1764914982.990121,129,291,30143,FORWARD
209,1764914982.9967678,123,291,30163,TURN_LEFT
210,1764914983.002971,119,293,30004,TURN_LEFT
211,1764914983.0097525,115,294,30075,TURN_LEFT
212,1764914983.0162864,112,295,29918,TURN_LEFT
213,1764914983.0228662,110,295,29733,TURN_LEFT
214,1764914983.0290549,109,295,30060,TURN_LEFT
215,1764914983.0351698,109,295,30064,TURN_LEFT
216,1764914983.041383,110,295,29918,TURN_LEFT
217,1764914983.0471852,111,295,30119,TURN_LEFT
218,1764914983.0527983,113,295,29798,TURN_LEFT
219,1764914983.0595033,110,295,30135,TURN_LEFT
220,1764914983.0664594,110,294,29866,TURN_LEFT
221,1764914983.0729363,108,293,29905,TURN_LEFT
222,1764914983.0789034,107,293,29970,TURN_LEFT
223,1764914983.0845203,108,293,29972,TURN_LEFT
224,1764914983.0908542,109,292,29943,TURN_LEFT
225,1764914983.0964534,110,292,29916,TURN_LEFT
226,1764914983.1020055,112,291,30066,TURN_LEFT
227,1764914983.108376,116,290,30125,TURN_LEFT
228,1764914983.1141481,120,289,30117,TURN_LEFT
229,1764914983.1200116,125,288,30114,TURN_LEFT
230,1764914983.1267374,130,287,29951,FORWARD
231,1764914983.1326406,134,285,29956,FORWARD
232,1764914983.1393597,137,283,29992,FORWARD
233,1764914983.1452231,141,281,29955,FORWARD
234,1764914983.1508932,144,279,29962,FORWARD
235,1764914983.1571953,147,277,29916,FORWARD
236,1764914983.1628122,151,276,29853,FORWARD
237,1764914983.1685376,154,274,29861,FORWARD
238,1764914983.175338,158,273,29895,FORWARD
239,1764914983.1807394,162,272,29804,FORWARD
240,1764914983.1891694,166,271,29832,FORWARD
241,1764914983.1951168,170,272,29891,FORWARD
242,1764914983.2006884,174,273,29700,FORWARD
243,1764914983.206861,175,274,29564,FORWARD
244,1764914983.2122993,174,274,29418,FORWARD
245,1764914983.217834,172,275,29508,FORWARD
246,1764914983.2248592,171,276,29333,FORWARD
247,1764914983.230901,170,278,29465,FORWARD
248,1764914983.2375712,168,280,29398,FORWARD
249,1764914983.2437363,166,283,29458,FORWARD
250,1764914983.2500365,165,285,29236,FORWARD
251,1764914983.256436,164,288,29405,FORWARD
252,1764914983.2624462,163,290,29331,FORWARD
253,1764914983.2678432,161,291,29068,FORWARD
254,1764914983.274116,160,292,29171,FORWARD
255,1764914983.2795923,160,293,29161,FORWARD
256,1764914983.2856429,160,293,29102,FORWARD
257,1764914983.2929013,160,293,29153,FORWARD
258,1764914983.2987192,161,292,29296,FORWARD
259,1764914983.3049974,161,290,29282,FORWARD
260,1764914983.3110352,161,289,29278,FORWARD
261,1764914983.316817,162,286,29408,FORWARD
262,1764914983.3238528,162,283,29493,FORWARD
263,1764914983.3308237,163,280,29710,FORWARD
264,1764914983.3373954,164,276,29639,FORWARD
